Country,Count
China,1734
Iran,300
Turkey,176
United states,901
Canada,218
United kingdom,191
India,326
Netherlands,95
Australia,124
Spain,201
Saudi arabia,83
Germany,191
France,145
Finland,68
Italy,203
Czech republic,35
Croatia,61
Uruguay,27
South korea,116
Brazil,135
Sweden,82
Malaysia,110
Israel,30
Poland,81
Greece,56
Serbia,47
New zealand,14
Egypt,62
Belgium,67
Colombia,13
Switzerland,85
Slovakia,14
Qatar,14
Denmark,106
Indonesia,60
Vietnam,53
Taiwan,38
Morocco,40
South africa,52
Hungary,28
Japan,63
Iraq,49
Pakistan,53
Lithuania,60
Austria,44
Peru,38
Russia,41
United arab emirates,46
Palestine,24
Ireland,40
Portugal,66
Singapore,92
Norway,50
Chile,42
Cuba,29
Jordan,51
Republic of korea,18
Cyprus,16
Hong kong,17
Tunisia,25
Mexico,58
Dominican republic,13
Argentina,40
Democratic republic of the congo,16
Slovenia,23
Yemen,25
Nigeria,14
Gabon,35
Oman,6
Romania,58
Thailand,40
Kuwait,15
Bangladesh,1
Cameroon,36
Central african republic,31
Chad,32
Bosnia and herzegovina,36
Uzbekistan,7
Kazakhstan,15
Brunei darussalam,6
Kyrgyzstan,37
Russian federation,27
Estonia,14
Uganda,4
Ghana,15
Malawi,15
Latvia,33
Ethiopia,31
Iceland,42
Ecuador,23
Lebanon,6
